Dataset,Method,1-SPFP,1-SPFN,SP-Score,TC,Modeler,Compression,Average Pairwise P-Distance,Maximum Pairwise P-Distance,Number of Sequences,Reference Length,Estimated Length,Maximum Ungapped Length,Sequence Length Heterogeneity,Gappiness Percentage,Average Gap Length,Median Gap Length,1-SPFP(masked),1-SPFN(masked),TC(masked),Compression(masked),Average Terminal Gap length
BALBS437,DefaultProbCons,0.153153153153,0.129005059022,0.141079106088,0.0019305019305,0.153153153153,1.49468085106,0.774445206478,1.0,14.0,564.0,843.0,514.0,0.452726394016,0.483915906788,28.3037037037,4.0,0.153153153153,0.129005059022,0.0019305019305,1.49468085106,114.75
BALBS046,DefaultProbCons,0.304162219851,0.245873968492,0.275018094171,0.0584532374101,0.304162219851,1.46984126984,0.674682784697,0.713530655391,8.0,1260.0,1852.0,1084.0,0.0281525010114,0.190079365079,8.01673640167,3.0,0.304162219851,0.245873968492,0.0584532374101,1.46984126984,46.5625
BALBS655,DefaultProbCons,0.204718417047,0.161367726455,0.183043071751,0.0415584415584,0.204718417047,1.35775862069,0.691067492365,0.772727272727,6.0,464.0,630.0,408.0,0.0659939102873,0.207974137931,11.8163265306,3.0,0.204718417047,0.161367726455,0.0415584415584,1.35775862069,24.6666666667
BALBS246,DefaultProbCons,0.161807503042,0.115005641219,0.13840657213,0.0,0.161807503042,2.45517241379,0.702320876568,0.904761904762,20.0,290.0,712.0,253.0,0.266221939521,0.400172413793,14.4161490683,2.0,0.161807503042,0.115005641219,0.0,2.45517241379,52.975
BALBS524,DefaultProbCons,0.411860950394,0.317091426902,0.364476188648,0.0,0.411860950394,2.03846153846,0.664870073753,0.906666666667,19.0,442.0,901.0,369.0,0.0397917021985,0.232317218385,6.02160493827,4.0,0.411860950394,0.317091426902,0.0,2.03846153846,4.31578947368
BALBS290,DefaultProbCons,0.389511291461,0.301708233686,0.345609762574,0.0518134715026,0.389511291461,1.46815286624,0.619112751122,0.716606498195,12.0,942.0,1383.0,906.0,0.277636474629,0.460102618542,28.5769230769,5.0,0.389511291461,0.301708233686,0.0518134715026,1.46815286624,130.166666667
BALBS710,DefaultProbCons,0.217540860574,0.176260937131,0.196900898852,0.0221402214022,0.217540860574,1.75298329356,0.65650546244,0.838174273859,23.0,838.0,1469.0,686.0,0.69206682334,0.570301961191,31.4957020057,2.0,0.217540860574,0.176260937131,0.0221402214022,1.75298329356,214.152173913
BALBS363,DefaultProbCons,0.122887864823,0.123647604328,0.123267734576,0.0,0.122887864823,1.01716738197,0.733819510355,0.847150259067,4.0,932.0,948.0,837.0,0.531346888274,0.457349785408,21.3125,4.5,0.122887864823,0.123647604328,0.0,1.01716738197,138.25
BALBS373,DefaultProbCons,0.250878455612,0.182304805267,0.216591630439,0.0,0.250878455612,1.59944495837,0.686308193229,0.80093676815,13.0,1081.0,1729.0,844.0,0.206663050759,0.508930477478,24.409556314,8.0,0.250878455612,0.182304805267,0.0,1.59944495837,164.115384615
BALBS234,DefaultProbCons,0.239863981167,0.223658536585,0.231761258876,0.0166666666667,0.239863981167,1.25835866261,0.703922233151,1.0,9.0,329.0,414.0,327.0,0.70620487659,0.463694697737,21.453125,3.5,0.239863981167,0.223658536585,0.0166666666667,1.25835866261,60.7777777778
